"month_bin","person_time_days","events","n_rows","split_width_days","spline_df"
0,332882,6,47735,7,3
1,403149,15,57690,7,3
2,316191,16,45248,7,3
3,310685,12,44495,7,3
4,377291,9,54037,7,3
5,285326,7,41111,7,3
6,258269,3,37294,7,3
7,302106,1,43158,7,3
8,241651,1,34522,7,3
9,241653,2,34526,7,3
10,301107,3,43032,7,3
11,238312,6,34104,7,3
12,289015,8,41444,7,3
13,221222,11,31716,7,3
14,211450,33,30395,7,3
15,241218,17,34831,7,3
16,146101,8,21724,7,3
17,62379,2,10452,7,3
0,332882,6,47735,7,4
1,403149,15,57690,7,4
2,316191,16,45248,7,4
3,310685,12,44495,7,4
4,377291,9,54037,7,4
5,285326,7,41111,7,4
6,258269,3,37294,7,4
7,302106,1,43158,7,4
8,241651,1,34522,7,4
9,241653,2,34526,7,4
10,301107,3,43032,7,4
11,238312,6,34104,7,4
12,289015,8,41444,7,4
13,221222,11,31716,7,4
14,211450,33,30395,7,4
15,241218,17,34831,7,4
16,146101,8,21724,7,4
17,62379,2,10452,7,4
0,332882,6,47735,7,5
1,403149,15,57690,7,5
2,316191,16,45248,7,5
3,310685,12,44495,7,5
4,377291,9,54037,7,5
5,285326,7,41111,7,5
6,258269,3,37294,7,5
7,302106,1,43158,7,5
8,241651,1,34522,7,5
9,241653,2,34526,7,5
10,301107,3,43032,7,5
11,238312,6,34104,7,5
12,289015,8,41444,7,5
13,221222,11,31716,7,5
14,211450,33,30395,7,5
15,241218,17,34831,7,5
16,146101,8,21724,7,5
17,62379,2,10452,7,5
0,332882,6,23988,14,3
1,323573,15,23229,14,3
2,473945,20,33947,14,3
3,308925,9,22170,14,3
4,300873,8,21652,14,3
5,285326,7,20766,14,3
6,258269,3,18913,14,3
7,241689,1,17264,14,3
8,362473,2,25892,14,3
9,241581,1,17258,14,3
10,240774,3,17217,14,3
11,238312,6,17087,14,3
12,232798,8,16830,14,3
13,224018,19,16155,14,3
14,315716,28,22735,14,3
15,190373,14,13993,14,3
16,146101,8,11411,14,3
17,62379,2,6296,14,3
0,332882,6,23988,14,4
1,323573,15,23229,14,4
2,473945,20,33947,14,4
3,308925,9,22170,14,4
4,300873,8,21652,14,4
5,285326,7,20766,14,4
6,258269,3,18913,14,4
7,241689,1,17264,14,4
8,362473,2,25892,14,4
9,241581,1,17258,14,4
10,240774,3,17217,14,4
11,238312,6,17087,14,4
12,232798,8,16830,14,4
13,224018,19,16155,14,4
14,315716,28,22735,14,4
15,190373,14,13993,14,4
16,146101,8,11411,14,4
17,62379,2,6296,14,4
0,332882,6,23988,14,5
1,323573,15,23229,14,5
2,473945,20,33947,14,5
3,308925,9,22170,14,5
4,300873,8,21652,14,5
5,285326,7,20766,14,5
6,258269,3,18913,14,5
7,241689,1,17264,14,5
8,362473,2,25892,14,5
9,241581,1,17258,14,5
10,240774,3,17217,14,5
11,238312,6,17087,14,5
12,232798,8,16830,14,5
13,224018,19,16155,14,5
14,315716,28,22735,14,5
15,190373,14,13993,14,5
16,146101,8,11411,14,5
17,62379,2,6296,14,5
0,356116,6,12062,30,3
1,345731,15,11653,30,3
2,339197,17,11409,30,3
3,332737,9,11197,30,3
4,324301,11,11006,30,3
5,308132,7,10660,30,3
6,277579,3,9724,30,3
7,258951,1,8632,30,3
8,258921,2,8632,30,3
9,258935,1,8641,30,3
10,258436,3,8655,30,3
11,256236,6,8636,30,3
12,250211,8,8511,30,3
13,239955,19,8170,30,3
14,230093,29,7938,30,3
15,215727,14,7798,30,3
16,182716,8,7428,30,3
17,86033,1,4114,30,3
0,356116,6,12062,30,4
1,345731,15,11653,30,4
2,339197,17,11409,30,4
3,332737,9,11197,30,4
4,324301,11,11006,30,4
5,308132,7,10660,30,4
6,277579,3,9724,30,4
7,258951,1,8632,30,4
8,258921,2,8632,30,4
9,258935,1,8641,30,4
10,258436,3,8655,30,4
11,256236,6,8636,30,4
12,250211,8,8511,30,4
13,239955,19,8170,30,4
14,230093,29,7938,30,4
15,215727,14,7798,30,4
16,182716,8,7428,30,4
17,86033,1,4114,30,4
0,356116,6,12062,30,5
1,345731,15,11653,30,5
2,339197,17,11409,30,5
3,332737,9,11197,30,5
4,324301,11,11006,30,5
5,308132,7,10660,30,5
6,277579,3,9724,30,5
7,258951,1,8632,30,5
8,258921,2,8632,30,5
9,258935,1,8641,30,5
10,258436,3,8655,30,5
11,256236,6,8636,30,5
12,250211,8,8511,30,5
13,239955,19,8170,30,5
14,230093,29,7938,30,5
15,215727,14,7798,30,5
16,182716,8,7428,30,5
17,86033,1,4114,30,5
